college_code,college_name,city,district,autonomous,college_type,university,naac_grade,nirf_rank,website
E157,"Government Engineering College, Ramanagaram",,,,,,,,
E158,Maharaja Institute of Technology Mysore,,,,,,,,
E159,Karavali Institute of Technology,,,,,,,,
E160,Sahyadri College of Engineering & Management,,,,,,,,
E161,"Government Engineering College, Kushalanagar",,,,,,,,
E162,"Government Engineering College, Raichur",,,,,,,,
E163,"Government Engineering College, Haveri",,,,,,,,
E164,"Government Engineering College, Hoovina Hadagali",,,,,,,,
E165,Yenepoya Institute of Technology,,,,,,,,
E167,K L E S K L E College of Engineering & Technology,,,,,,,,
E168,Amrutha Institute of Engineering & Management Science,,,,,,,,
E169,Alva's Institute of Engineering & Technology,,,,,,,,
E171,Brindavan College of Engineering,,,,,,,,
E172,R R Institute of Technology,,,,,,,,
E173,Sai Vidya Institute of Technology,,,,,,,,
E174,Dr. Sri Sri Sri Shivakumara Mahaswamyji College of Engineering,,,,,,,,
E175,S S E T S S G Balekundri Institute of Technology,,,,,,,,
E176,Navodaya Institute of Technology,,,,,,,,
E177,Rajeev Institute of Technology,,,,,,,,
E178,The National Institute of Engineering (North Campus),,,,,,,,
E180,Beary's Institute of Technology,,,,,,,,
E181,Sri Basaveswara Institute of Technology,,,,,,,,
E184,C Byre Gowda Institute of Technology,,,,,,,,
E185,Angadi Institute of Technology and Management,,,,,,,,
E186,ACS College of Engineering,,,,,,,,
E188,Vijaya Vittala Institute of Technology,,,,,,,,
E189,NAVKIS College of Engineering,,,,,,,,
E191,Akshaya Institute of Technology,,,,,,,,
E193,Srinivas University,,,,,,,,
E194,"Government Engineering College, Karwar",,,,,,,,
E196,Jain College of Engineering,,,,,,,,
E197,Veerappa Nisty Engineering College,,,,,,,,
E198,Sharanbasava University (Exclusively for Women),,,,,,,,
E199,AGM Rural Engineering College,,,,,,,,
E201,Gopalan College of Engineering & Management,,,,,,,,
E202,Sampoorna Group of Institutions,,,,,,,,
E203,K S School of Engineering & Management,,,,,,,,
E204,Bangalore Technological Institute,,,,,,,,
E205,ATME College of Engineering,,,,,,,,
E206,Shri Madhwa Vadiraja Institute of Technology and Management,,,,,,,,
E207,V S M's Somashekhar R Kothiwale Institute of Technology,,,,,,,,
E209,Jyothi Institute of Technology,,,,,,,,
E210,G Madegowda Institute of Technology,,,,,,,,
E211,Jain Institute of Technology,,,,,,,,
E212,Dayananda Sagar Academy of Technology & Management,,,,,,,,
E213,Lingarajappa Engineering College,,,,,,,,
E216,Shetty Institute of Technology,,,,,,,,
E220,Alliance University,,,,,,,,
E221,Biluru Gurubasava Mahaswamiji Institute of Technology,,,,,,,,
E222,Cambridge Institute of Technology (North Campus),,,,,,,,
E225,SJB School of Architecture & Planning,,,,,,,,
E227,Cauvery Institute of Technology,,,,,,,,
E232,REVA University,,,,,,,,
E235,M S Ramaiah University of Applied Sciences,,,,,,,,
E237,Presidency University,,,,,,,,
E238,Mysuru Royal Institute of Technology,,,,,,,,
E239,East West College of Engineering,,,,,,,,
E240,Dayananda Sagar University,,,,,,,,
E241,KLE Technological University,,,,,,,,
E252,Mysore College of Engineering and Management,,,,,,,,
E254,A J Institute of Engineering and Technology,,,,,,,,
E255,Gandhi Institute of Technology and Management (GITAM),,,,,,,,
E256,Rai Technological University,,,,,,,,
E257,CMR University,,,,,,,,
E258,Maharaja Institute of Technology Tandavapura,,,,,,,,
E259,Sir M V School of Architecture,,,,,,,,
E263,"School of Planning and Architecture, University of Mysore",,,,,,,,
E264,Basav Engineering School of Technology,,,,,,,,
E265,Jain College of Engineering and Technology,,,,,,,,
E266,BMS College of Architecture,,,,,,,,
E269,Jain College of Engineering and Research,,,,,,,,
E272,"Government Engineering College, Talakal",,,,,,,,
E273,"Government Engineering College, Gangavathi",,,,,,,,
E274,"Government Engineering College, Mosale Hosahalli",,,,,,,,
E275,R V Institute of Technology and Management,,,,,,,,
E278,Visvesvaraya Technological University (Muddenahalli Campus),,,,,,,,
E279,Visvesvaraya Technological University (Belagavi Campus),,,,,,,,
E281,"Government Engineering College, Challakere",,,,,,,,
E283,University of Mysuru (B N Bahadur Institute of Management Sciences),,,,,,,,
E284,Sri Jayachamarajendra College of Engineering,,,,,,,,
E285,RV University,,,,,,,,
E286,BGS College of Engineering & Technology,,,,,,,,
E287,Vidyashilp University,,,,,,,,
E288,Garden City University,,,,,,,,
E289,Visvesvaraya Technological University (Kalaburagi),,,,,,,,
E290,Visvesvaraya Technological University (Mysuru),,,,,,,,
E291,"Government Engineering College, Naragund",,,,,,,,
E292,"Government Engineering College, Mailur",,,,,,,,
E297,Aditya College of Engineering and Technology,,,,,,,,
E299,Ghousia Institute of Technology for Women,,,,,,,,
E300,Akash Institute of Engineering and Technology,,,,,,,,
E301,Kishkinda University,,,,,,,,
E302,Amity University,,,,,,,,
E303,GM University,,,,,,,,
E304,Anuvartik Mirji Bharatesh Institute of Technology,,,,,,,,
E305,Dr H N National College of Engineering,,,,,,,,
E306,The Chanakya University,,,,,,,,
E307,Seshadripuram Institute of Technology,,,,,,,,
E308,"Constituent College of VTU, Chintamani",,,,,,,,
E309,"Constituent College of VTU, Chintamani",,,,,,,,
E310,"Government Engineering College, Arasikere",,,,,,,,
E311,Rathinam Institute of Technology,,,,,,,,
E312,New Ebenezer Institute of Technology,,,,,,,,
E313,Harsha Institute of Technology,,,,,,,,
E314,Cauvery College of Engineering,,,,,,,,
E315,"VTU Constituent Engineering College, Gokak",,,,,,,,
