college_code,college_name,city,district,autonomous,college_type,university,naac_grade,nirf_rank,website
E093,Basavakalyana Engineering College,Basavakalyan,Bidar,FALSE,Private,,,,
E094,Coorg Institute of Technology,Ponnampet,Kodagu,FALSE,Private,,,,
E095,AMC Engineering College,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E096,East Point College of Engineering & Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E097,C M R Institute of Technology,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E098,Atria Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E099,New Horizon College of Engineering,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E100,K N S Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E101,Channabasaveshwara Institute of Technology,Gubbi,Tumakuru,FALSE,Private,,,,
E102,Don Bosco Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E103,Global Academy of Technology,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E104,Nagarjuna College of Engineering & Technology,Bengaluru,Bengaluru Rural,TRUE,Private,,,,
E106,East West Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E107,B N M Institute of Technology,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E108,Sapthagiri NPS University,Bengaluru,Bengaluru Urban,FALSE,University,,,,
E109,City Engineering College,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E111,Sri Venkateshwara College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E112,Sri Krishna Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E113,Sambhram Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E114,G M Institute of Technology,Davanagere,Davanagere,FALSE,Private,,,,
E115,S J B Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E116,R L Jalappa Institute of Technology,Doddaballapur,Bengaluru Rural,FALSE,Private,,,,
E118,RNS Institute of Technology,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E119,K C T Engineering College,Kalaburagi,Kalaburagi,FALSE,Private,,,,
E120,Jnanavikasa Institute of Technology,Bidadi,Ramanagara,FALSE,Private,,,,
E121,Vivekananda College of Engineering Technology,Puttur,Dakshina Kannada,FALSE,Private,,,,
E123,Canara Engineering College,Mangaluru,Dakshina Kannada,FALSE,Private,,,,
E124,Rajiv Gandhi Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E126,B M S Institute of Technology & Management,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E127,M S Engineering College,Bengaluru,Bengaluru Rural,FALSE,Private,,,,
E128,Sharanbasava University,Kalaburagi,Kalaburagi,FALSE,University,,,,
E129,St. Joseph Engineering College,Mangaluru,Dakshina Kannada,TRUE,Private,,,,
E130,Shridevi Institute of Engineering & Technology,Tumakuru,Tumakuru,FALSE,Private,,,,
E132,Secab Institute of Engineering & Technology,Vijayapura,Vijayapura,FALSE,Private,,,,
E133,G S S S Institute of Engineering & Technology for Women,Mysuru,Mysuru,FALSE,Private,,,,
E134,Smt. Kamala & Sri Venkappa M Agadi College of Engineering & Technology,Laxmeshwar,Gadag,FALSE,Private,,,,
E135,K L S Viswanathrao Deshpande Institute of Technology,Haliyal,Uttara Kannada,FALSE,Private,,,,
E136,Moodalakatte Institute of Technology,Kundapura,Udupi,FALSE,Private,,,,
E139,Impact College of Engineering & Applied Sciences,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E141,PES University (Electronic City Campus),Bengaluru,Bengaluru Urban,FALSE,University,,,,
E142,Adhichunchanagiri University,B G Nagara,Mandya,FALSE,University,,,,
E144,Srinivas Institute of Technology,Mangaluru,Dakshina Kannada,FALSE,Private,,,,
E145,Rajarajeswari College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E146,Shreedevi Institute of Technology,Mangaluru,Dakshina Kannada,FALSE,Private,,,,
E147,T John Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E149,Cambridge Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E150,P E S Institute of Technology & Management,Shivamogga,Shivamogga,FALSE,Private,,,,
E151,Mangalore Institute of Technology & Engineering,Moodabidri,Dakshina Kannada,TRUE,Private,,,,
E152,S D M Institute of Technology,Ujire,Dakshina Kannada,FALSE,Private,,,,
E153,S E A College of Engineering & Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E154,"Government Engineering College, Chamarajanagara",Chamarajanagar,Chamarajanagar,FALSE,Government,,,,
E155,"Government Engineering College, Hassan",Hassan,Hassan,FALSE,Government,,,,
E156,"Government Engineering College, K R Pet",Krishnarajapet,Mandya,FALSE,Government,,,,
E157,"Government Engineering College, Ramanagaram",Ramanagara,Ramanagara,FALSE,Government,,,,
E158,Maharaja Institute of Technology Mysore,Mysuru,Mandya,FALSE,Private,,,,
E159,Karavali Institute of Technology,Mangaluru,Dakshina Kannada,FALSE,Private,,,,
E160,Sahyadri College of Engineering & Management,Mangaluru,Dakshina Kannada,TRUE,Private,,,,
E161,"Government Engineering College, Kushalanagar",Kushalnagar,Kodagu,FALSE,Government,,,,
E162,"Government Engineering College, Raichur",Raichur,Raichur,FALSE,Government,,,,
E163,"Government Engineering College, Haveri",Haveri,Haveri,FALSE,Government,,,,
E164,"Government Engineering College, Hoovina Hadagali",Hoovina Hadagali,Vijayanagara,FALSE,Government,,,,
E165,Yenepoya Institute of Technology,Moodabidri,Dakshina Kannada,FALSE,Private,,,,
E167,K L E S K L E College of Engineering & Technology,Chikkodi,Belagavi,FALSE,Private,,,,
E168,Amrutha Institute of Engineering & Management Science,Bidadi,Ramanagara,FALSE,Private,,,,
E169,Alva's Institute of Engineering & Technology,Moodabidri,Dakshina Kannada,FALSE,Private,,,,
E171,Brindavan College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E172,R R Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E173,Sai Vidya Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E174,Dr. Sri Sri Sri Shivakumara Mahaswamyji College of Engineering,Nelamangala,Bengaluru Rural,FALSE,Private,,,,
E175,S S E T S S G Balekundri Institute of Technology,Belagavi,Belagavi,FALSE,Private,,,,
E176,Navodaya Institute of Technology,Raichur,Raichur,FALSE,Private,,,,
E177,Rajeev Institute of Technology,Hassan,Hassan,FALSE,Private,,,,
E178,The National Institute of Engineering (North Campus),Mysuru,Mysuru,TRUE,Private,,,,
E180,Beary's Institute of Technology,Mangaluru,Dakshina Kannada,FALSE,Private,,,,
E181,Sri Basaveswara Institute of Technology,Tumakuru,Tumakuru,FALSE,Private,,,,
E184,C Byre Gowda Institute of Technology,Kolar,Kolar,FALSE,Private,,,,
E185,Angadi Institute of Technology and Management,Belagavi,Belagavi,FALSE,Private,,,,
E186,ACS College of Engineering,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E188,Vijaya Vittala Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E189,NAVKIS College of Engineering,Hassan,Hassan,FALSE,Private,,,,
E191,Akshaya Institute of Technology,Tumakuru,Tumakuru,FALSE,Private,,,,
E193,Srinivas University,Mangaluru,Dakshina Kannada,FALSE,University,,,,
E194,"Government Engineering College, Karwar",Karwar,Uttara Kannada,FALSE,Government,,,,
E196,Jain College of Engineering,Belagavi,Belagavi,FALSE,Private,,,,
E197,Veerappa Nisty Engineering College,Shorapur,Yadgir,FALSE,Private,,,,
E198,Sharanbasava University (Exclusively for Women),Kalaburagi,Kalaburagi,FALSE,University,,,,
E199,AGM Rural Engineering College,Navalgund,Dharwad,FALSE,Private,,,,
E201,Gopalan College of Engineering & Management,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E202,Sampoorna Group of Institutions,Channapatna,Ramanagara,FALSE,Private,,,,
E203,K S School of Engineering & Management,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E204,Bangalore Technological Institute,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
E205,ATME College of Engineering,Mysuru,Mysuru,FALSE,Private,,,,
E206,Shri Madhwa Vadiraja Institute of Technology and Management,Bantakal,Udupi,FALSE,Private,,,,
E207,V S M's Somashekhar R Kothiwale Institute of Technology,Nipani,Belagavi,FALSE,Private,,,,
E209,Jyothi Institute of Technology,Bengaluru,Bengaluru Urban,FALSE,Private,,,,
E210,G Madegowda Institute of Technology,Maddur,Mandya,FALSE,Private,,,,
E211,Jain Institute of Technology,Davanagere,Davanagere,FALSE,Private,,,,
E212,Dayananda Sagar Academy of Technology & Management,Bengaluru,Bengaluru Urban,TRUE,Private,,,,
